x,y
喜加一，你懂得,推荐
"安装3DM的中文补丁
把游戏目录下GCGame\CookedPC\IpDrv_LOC_int.upk这个文件删除。进游戏就有中文了",推荐
"我第一次遇到崩到连Ctrl+Alt+Delete都不认的游戏。。。

这是因为我是64位的系统？还是因为我没有女朋友注定孤独一生？

我觉得我是永远都没机会捡起那把北朝鲜AK了。。。",不推荐
卧槽居然上架了！！联机真的不错，推荐,推荐
"🌞：美国人要用枪打，枪一定要射出子弹，开枪一定要扣动扳机
✍️😭✍️😭✍️😭✍️😭✍️😭✍️😭✍️😭✍️😭",推荐
"游戏的背景是：2027年，故事讲述遭受经济危机冲击后的美国逐渐衰退，威风不再，被自己曾经踩在脚下的朝鲜如今国力强盛，大举入侵美国本土。此时全体美利坚人民奋起反抗，抗击朝鲜侵略者，保家卫国。（好吧，我笑了。。。想起一个笑话：朝鲜高层开大会，三胖在会上宣布朝鲜要登陆太阳，全场一片哗然：太阳上温度那么高，怎么上去呢？三胖看出了大家的疑惑，胖手一挥，说：我们晚上去！大家被三胖的机智惊呆了，瞬间掌声雷动，经久不息。）

虽然画面效果没什么亮点，但是设计的环境很写实，操作简单流畅，音效好评，单机剧情自然而然的就玩下来了，故事剧情蛮有代入感的。联机方面试过大战役模式，场面挺火爆的，就是PING很感人，必须挂VPN玩。

当初是被游戏封面上那个灰暗色调人相上的血色围眼吸引，相对于打折时候5刀的价格，我觉得这个游戏值！",推荐
"游戏《国土防线》1代 汉化方法
【第1步】网上搜索：3DM汉化补丁，记得选择“3dm蒹葭汉化组”
——或者下载汉化包：加QQ群580423397，免申请入群在“群文件”自己找，下载完你退群好了
【第2步】点击Steam，找到Homefront，右键点击“管理”—选择“浏览本地文件”
【第3步】找到游戏目录“HOMEFRONT”下GCGame\CookedPC\IpDrv_LOC_int.upk，把这个文件删除
【第4步】直接将“国土防线汉化1.0.exe”放到游戏目录“HOMEFRONT”下双击打开，点击“安装汉化”
【第5步】打开游戏，汉化完成，大部分都能用
Steam打折7元买的，没什么好说的，买不了吃亏买不了上当，想玩你就闭眼入",推荐
"我觉得steam出中评只能说是迟早的事了，多少想给中评的游戏结果都只能给好评。说回正题，那些说bug多的，不知道你们的bug是哪里来的，我以前玩通关了都没遇到多少破坏游戏体验的bug。单人模式很短，三个半小时左右吧，还是挺紧凑的，虽然说结尾是很老套的好莱坞boomboomboom，但是每次遇到都会玩得很爽。



单人模式给6分，内容短，枪支手感尚可，如果你喜欢荣誉勋章的话这个估计也会觉得不错。



多人模式很有创意，目前服务器还有人的就只有征服和团战了，征服平衡的很一般，而且每轮的时间也有点过长了。不过团战确实很新鲜，每一个职业的技能都有不同作用，而且在团战里面起的效果也不会太变态，团战我虽然就玩了三局，但是都觉得打得很爽。而且让我不禁想道：如果新的家园前线也有多人模式那估计就可能会成为steam上面的战地了。多人模式7分，总得来说只能算是一个6分合格的作品。以现在的标准来衡量肯定是不过关的了，不过以前战地还是很贵的时候我还真会给大家推荐买这个了",推荐
"

之所以推荐是因为免费送的，配置要求也不高。
编剧八成是个军盲，朝军有着神一般的黑科技，却只能用RPG打直升机。。
至今不明白M1坦克是如何被RPG从正面一发打爆的，难道穷到用猴版？
朝军在金门大桥上建几道铁门整个陆军就束手无策了，你们的火力覆盖呢？再不济，你们的坦克是摆设吗？
当美军打下金门大桥的那一刻，几架F22把桥上的美军炸开了花（这是叛徒吧。。）
思前想后忽然想通了——
这是红龙的第一人称版吧！",推荐
"我是看着敖厂长的视频才知道这个游戏的，厂长称它为“国土烦炫”，
整体游戏比较中庸，没有什么出彩的地方，也没有什么恶性BUG，
游戏流程也是很短的，一般4个小时内可以通关吧。

武器的种类还可以，每个武器有一些不同的备件，但也只是可以捡到，
不能自定义武器，游戏中有一个遥控的机械小装甲车，十分BUG，
一般有它的关卡都是很轻松的，游戏的关卡设计还是挺不错，
玩起来也不会觉得无聊，因为真的很短，显得还挺紧凑的。
还有多人模式，虽然我根本没玩。也无中文，但剧情挺扯蛋，应该是，
朝鲜入侵美国，哈哈，三胖很强势嘛。全游戏也许就是这个亮点吧。

游戏本身价格比较低，打折之后更是白菜价入手，推荐打折之后，买来玩玩，是一个挺不错的选择。",推荐
"#国土防线#，第一人称射击。背景设定爆炸，2027年朝鲜成功攻占美国本土，主角是旧金山抵抗游击队中的一员。
hb限免，多人模式已鬼服，无官中无汉化。",推荐
6年前玩过的游戏，之前喜+1拿的，以前这游戏我用xbox360玩的，在刚才的那几年这游戏还可以，除了cod和战地还有荣誉勋章外 还不错的一款，自己印象最深刻就是最后一关桥上。在后来一些枪战网游都有这个图，这游戏回忆满满，但已经没动力玩下去了.....,推荐
"

另一个平行世界，朝鲜暴打美帝。666",推荐
"

谁有汉化补丁！没有中文玩起好尼玛难受。。。",推荐
打折的时候喜加一 和几个好友试玩了一下 首先联机模式人有点少 基本就是好友越好来对抗的 人多的情况下还是挺好玩的 武器手感不错 还有就是没有中文 网上的中文补丁打了没效果 但其实基本的东西都能看得懂 所以有兴趣的喜爱fps且朋友多的情况下 不妨把它加入到库中吧w,推荐
ok,推荐
"

Free on Humble Bundle！

小车前中期全程实力carry

游戏总体感觉一般。

除了突突突，整部游戏就只有一关是有带有潜入元素的，比如用狙击枪干掉对面狙击手。。
还有一关是驾驶直升机，（你甚至可以无伤去撞地上的车。。）

剧情一般。或许是因为我没有打汉化剧情没怎么看懂？

多人。。连了几次没进去就没再试了，不知道需不需要梯子。

最后感谢HB！！！",推荐
"不要再说垃圾游戏辣！

真的是一款很好玩的游戏。本体价格很便宜也进过一次包，所以很推荐已进入库的玩家尝试一下，整个流程大概在三个小时，麻雀虽小五脏俱全，这绝对会是速射爽爆的三个小时。

游戏剧情中规中矩，KPA占领全世界，然后自由斗士为解放人民而战。和第二部没有太大区别，但是发生在第二部的四年前，城市科技程度明显落后一些。

游戏的贴图没有现在精细，场景互动也几乎没有，但是场景制作十分精细，没有明显贴图错误和莫名其妙的场景bug，缺点是空气墙稍微严格了一点。

支持21：9和2k画质。

这部中，很多设定可以看到《国土防线：革命》的影子。虽然相较与第二部《国土防线：革命》来说，这一作无论是场景还是系统都没有第二部丰富，但是，我不得不说，这一部比第二部要优秀太多，可以说是第二部所有的精华都放在了这一部中，现实情况是，第二部在第一部的基础上扩大了地图，加入新的游戏系统，增添更多游戏方法，但是在发扬精华的时候也加入了一些糟粕，使得第二部没有那么的耀眼。
这里是我《国土防线：革命》的评测。 https://steamcommunity.com/id/Chaneky/recommended/223100/
第二部在我看来并不是一个合格的垃圾游戏，这一部无疑是优秀的。

游玩过程中遇到过一次bug，因为我处理敌人太快了，导致NPC卡住不推剧情了，这在线性游戏里是致命的，游戏等于没法玩了，读了一次档就解决了，其实也不是什么大毛病。

游戏最大的优点在于他作为FPS游戏的手感和动作的流畅性，可以说比现在的很多游戏都要好，开镜慢了点但是还可以接受，我很惊讶与一个好多年前的游戏整个游戏操作居然和现在的主流游戏操作如此接近，爬蹲起跳跃的切换丝滑流畅，空中开镜，贴脸瞬镜也完全没有违和感，后半段的直升飞机的操作平易近人到我都疑惑为什么现在的游戏直升机都不这么设计！

作为射击游戏，这应该是一部精品了，垃圾游戏这个称号简直就是无稽之谈。纸上得来终觉浅，难道你不觉得浅吗？！

我无聊自己开了把网战，不夸张的说，完美的复刻了战地，从玩法到操作，精妙，就是场景没法破坏，关键是居然有俩个人跑到了我的房间让我一挑二，amazing。然后我赢了，GG

",推荐
"金门大桥掉下来，掉下来，掉下来~
国土防线背景设立在平行世界的假想战场，自由的领土被崛起的红色力量占领，实现人人幸福的方式就是驱逐本地人（有点眼熟的剧情，作为皇牌飞行员的主角，因赫赫战功被寄托希望，为了拯救水深火热中的普通百姓，他义无反顾，忍辱负重，用双手的鲜血，换取明天的鲜花。
　
剧情起承转合一气呵成，短短七章内容，突击潜行驾驶爆炸应有尽有，刹那间通关留给人残存一丝意犹未尽。
枪械后座力低，呼吸回血快，存档点密集，指引清晰，系统简洁，就连最高难度，竟然！不要求一命通关，也就脆皮一些几枪就寄，导致人类和坦克PK略占下风，靠无CD读档，复活又是一条好汉，在FPS类简直是一股清流，令人潸然泪下。
多人模式，没人哈哈：（",推荐
4小时通关，一路社保~,推荐
"让朝鲜统一全世界，这是全世界人的梦想。

Let North Korea unify the whole world, this is the dream of people all over the world.",推荐
"为什么玩这个评价不是很好的射击游戏？一切源于写完了论文肝完了视频一身轻松瘫软在床上无所事事，突然想要打打无脑突突突的FPS，才突然想到前几天HB上喜加一来的homefront。

剧情：剧情总体还是比较通俗易懂的，作为英语渣的大一狗表示不需要汉化也可以看懂游戏的剧情、人物对话等，玩起来还是不会迷迷瞪瞪的。但是如果一定要严格来讲的话其实剧情并没有很出众，也没有类似欧亨利式的结局，甚至是牺牲掉的NPC都渲染的很平淡，算是比较按大众套路走的了，相信肯定有人玩一半就能大致猜对剧情走向。
（话说这个背景实在尼玛硬核啊哈哈哈，北方的某个国家咸鱼翻身，反过来把美国搞了 /手动滑稽/）

游戏性：个人认为这款游戏“自由度”不太让人舒服，我讲的这个所谓的”自由度“不是沙盒游戏上讲的自由度，而是在玩游戏的过程中真的有很多的“限制”。比如很多地方明明看着像是让人走的但是实际就是空气墙，钻个洞一定要等NPC慢吞吞讲完话，一个个钻完才轮得到你钻，下楼梯也要跟在NPC后面慢慢走，同理很多场景都是如此，这个让人挺烦的。然后我本就是抱着玩无脑突突突的心态去玩的这个游戏，根本没什么心思等他们慢吞吞的讲话和走路，
(所以你们可以脑补一下在一个非常伤心场景里面，NPC情绪低落地在对话，我在旁边跳跳跳，在躺在地上的尸体上跳跳跳，反正只要是有NPC对话的地方就有我在旁边跳跳跳，小猪佩奇既视感）。
然后目的也很简单，不需要动脑子的，看见人就射，没子弹就换枪就行。


画面：贴图比较粗糙，整个游戏玩起来怪怪的，。有一幕印象尤其深刻，就是第一次进到安全屋，有个妇女抱着一个婴儿，我跳跳跳跳过去然后发现那个婴儿...跟一块石头真的没区别，
不过反正我玩游戏从来没有什么高要求，所以其实总体个人觉得说的过去，不会太烂。
特别是最后关卡在进门大桥上的决战真的感觉迷之宏达迷之热血啊！！

射击手感：射击手感个人觉得还不错，至少对于一个突突突的游戏来讲还算可以，特别是到后面操控直升飞机的那几个关卡，导弹机枪射起来挺爽的，或者是因为飞机实在太好开了让我产生这种错觉呢（doge）

音效：个人觉得对游戏起了不错的良性作用，对战争环境的渲染很好，北方某国家士兵的叫喊声也很可爱 。

总结起来如果是冲着画面，玩法，宣传（）去玩的话，可能会让人大失所望，特别是有些人是花了钱买的， 反正我不是（doge） 。但如果是以一个发泄压力或者真的没事干的心态去玩这个游戏也许能发现更多惊喜。",推荐
不得不说这个是个好游戏，游戏细节方面很到位。但国人还是建议不要购买，太卡了。第一次做游戏评估···,推荐
最重要的不是游戏好不好玩，而是这剧情真的。。。很有想法😂,推荐
怎么设置成中文？,推荐
"美国人的害妄想症| 朝鲜人民的春天

不推荐原价入手，因为这游戏的手感实在是太差，剧情又狗血，但是我玩的时候总有一种伪*大游戏制作感",推荐
本人不是很懂政治，或许现实中双方会反过来吧。不得不说游戏开头街边上一对父母要被枪杀，母亲对孩子说不要看，枪声响起紧接着就是孩子撕心裂肺的哭喊声。看到这一幕眼睛都湿了。游戏本身并不出众，射击手感很奇怪，画面在当时还不错，优化也还好，7700hq+1050ti全开有一百多帧，推荐打折的时候，喜欢fps的玩家可以入。对这种题材没兴趣的就算了，不玩也不会错过什么。,推荐
"一零年前后KPA崛起并进攻美国本土的架空设定相当流行，还出过类似的小说和电影——不过和这部游戏一样，都是空有噱头而缺乏内容。
整个战役突出一个混乱——稀里糊涂地被抓，稀里糊涂地获救，稀里糊涂地认识了三个非主流打扮队友，最后稀里糊涂地获胜。剧情说白了就是旧金山反抗军过关斩将投奔王师，顺道与KPA和狗美奸大战的故事。没有反转也没有叙事技巧，只需要知道KPA是带恶人＋为了柿油战斗到底就是了。
游戏的射击手感稀烂，而且种类偏少，敌我双方用的都是美式武器（制作组甚至不愿意做把AK敷衍一下）。关卡设计明显参考了当时大火的现代战争三部曲，但游玩起来拖沓冗长，而且剧情触发与场景切换还得等NPC就位才能进行（离谱的是NPC还经常在寻路时卡住）。糟糕的存档点设置更是雪上加霜，例如农场潜行关与结尾金门大桥关都是高度线性的，可一旦死亡便得回到较久之前的存档点，顺便重温不能跳过的演出脚本。
而且即使在这些坑爹设定折磨下，我通关战役也不过用了三个半小时。至于多人早已鬼服。只能说质量勉强对得起它那10块钱的价格吧……",不推荐
"优点：
1.剧情还不错
2.最高难度下挑战性还可以
缺点：
1.国内封禁了，有关的帖子网站都无法访问关于此游戏内容，盗版 ，汉化补丁，修改器都很难找到（百度快照里面还能下载到汉化补丁）
2.BUG出奇的多，鼠标无法移动遇到好多次，卡死了十几次
3.修改器使用会报错卡死（wemod的可以用，不太稳定会卡死）
4.汉化文件有一下文字会出错（打了汉化之后会有点不稳定）
总结：不太建议购买，我是平史低补票的，以前是在逗游玩盗版，每次玩一半就没怎么玩了，反反复复几次了，正版有云存档是我最喜欢的
",推荐
"

喜加一 不要白不要",推荐
初中玩的盗版，打折买来重温一下，最高难度真的是玩死我了，AI刷的飞快，队友不如不存在，找掩体卡你位，把你挤出去，战斗力为5，但我觉得这确实是一款好游戏？,推荐
BUG还能在多点吗?开局连碰两次...一次出不了车子...一次直接从车里飞出去了...,不推荐
"不至于差评，毕竟几块钱买的。如果是原价买，那肯定给差评。
感觉制作组想抄cod，但成品只能说就这样了。美国被朝鲜入侵这个情节实在让人难绷，游戏中还有些过于刻意的煽情，只要联想到现实中的美国的一些作为，我是真被逗乐了。",推荐
重新通关了一次，中规中矩的一个fps，有不少类似cod的关卡设计-破门、狙击潜入（非常无聊）、载具、炮艇、小鸟（还挺好玩的）。游戏里有时还会因为队友路径问题导致任务无法推进，并且因为备弹数设定的过少，除了用机枪外大部分时间都是在捡枪换枪。,推荐
如果你向往自由，憎恶专制政权，这款游戏一定适合你,推荐
"

6/10 美帝人民的被迫害妄想症",推荐
好游戏,推荐
"差评，即使是2021年来玩一款2011年的游戏，这个差评我依然得给。

首先移动手感，我很好奇THQ是如何把一款FPS的移动手感做成孤单枪手的，人物各种空气墙（甚至是在掩蔽物旁边），各种顶建模，我玩到后面已经意识到如果我清干净敌人前换掩体，跑过去的一瞬间是一定会被打死的，因为一定会被掩体建模粘住一下！另外这个游戏的跑就是别的游戏的走，按住跑步还没我奶奶遛弯快，不按几乎就是蹑手蹑脚走。最傻逼的是，这个游戏爬梯子居然要按E！然后放动画！你这做的还不如08年的荣誉勋章了！

射击手感也很牛皮，我除了能分清拉大栓半自动全自动外完全体会不到枪的其他手感区别，不开镜还带子弹拐弯自动瞄准而不是散射，带消音器的M4捡的时候建模有消音器，举起来就没了，但声音还是带消音的，真是不知道DEBUG怎么做的。另外这游戏有一点巨牛皮，没有子弹补充！地上没有你的枪就只能换枪，就算有你的枪一把枪里就十发子弹，打一会就弹尽粮绝了。

然后是玩法，强制过场、故意拖慢都十分明显，特别第四关有两个油桶，如果你不打油桶炸死敌人，一会你路过油桶就会自己爆炸炸死你！我买的是个恶魔之魂吗？你咋不冲出来个大刀朝鲜兵砍我要我按QTE呢！

最后是故事，欧美人做现代架空总有这个问题，就是不设身处地地想想游戏那样的世界是什么样的，一个概念三张设定图，故事就开场了。朝鲜军官前期特牛逼后期人都没了，朝鲜人来侵略就是杀杀红脖子别的啥也没有，至少你得有个作战计划吧？还有美军战前留下的那个大狗车，比坦克都硬几十倍，有这玩意你们怎么输的？唯一我认为很好的是这游戏里有美奸，有还乡团，还有土匪，实在是美国游戏里少有。

最后的最后，除了朝鲜人没来，整个美国或目前的状况跟游戏里已经差不多了，THQ真是个好预言家，难怪被刀了。",不推荐
"TLDR：不只是不好玩，应该说是纯粹的烂作。打折确实很便宜，但是你的时间总比这坨屎值钱。

兼容性上，网上已经找不到能用的汉化补丁了，4K分辨率下字幕小得离谱。我没有碰过其他评论说的BUG问题，但是它也就顶多是一坨通畅的屎。

游戏性上，所有枪械的手感都是一个模子刻出来的软绵绵，敌人也就只有换皮，打起来也就是千禧年粗制滥造街机游戏的站桩水平。

流程上，绝大部分人都可以在3个小时内通关，其中绝大部分的时间会被浪费在等NPC走到特定地点踢门扶冰箱开启下个地点上（此外NPC经常卡台阶和门口原地踏步，你要不停去蹭才能有可能蹭到正轨上）。

剧情上...想象一群对现实世界的全部了解都来自汽车影院的弱智军盲红脖子白男拿着残障资助投资设计了一款飞机杯，这就是这个时长和内涵都少得可笑的游戏会带给你的全部感觉。

必须声明的是，这游戏的烂和政治没太大关系。就像你看抗日神剧会感觉被侮辱一样，这游戏就是在短短的三个小时里把你当弱智侮辱了你一遍。我已经被自己的好奇心所害吃完了这一坨，那么你何必要学我自取其辱呢。

I would like this game because I enjoy watching these American people suffer. But the game is so bad that I'm suffering from the process of watching instead.

It's nothing political really. It's just a badly designed game with a even worse plot. The entire story progresses based on the commands of a retarded red neck who uses American civilian as meat shield, drops white phosphorus on his own teammates while still have the audacity to blame everything on the enemy.

--------------------------------------------------------------------------------------

在玩的过程中，你能很明显地感受到一种上层叙事：你能从那坐马桶上手机没电了都懒得看的烂片情节、实际就是刻板印象般弱智的队友和NPC和剧情发展中感受到这个架空世界的上层，它的作者们，真的就是一群弱智。遇到任何障碍？坐上卡车冲过去；想游击战推翻凭军事科技实力占领了全世界的超牛逼先进军队？这里是一把M16，请向你看到的所有东西按下鼠标。想感受在未来的城市战场上与超级军事强国的严酷统治做对抗吗？你能碰到的有且仅有视力范围在5m内的步兵，战车和直升机，且能给你的解决办法有且仅有用剧情适时给的RPG炸掉。

它甚至不是像重返德军总部那样的讽刺。你能很明显地感觉到作者们是真的在尝试用他们极其有限的常识和刻板印象在给你讲故事。这故事甚至刻板印象到有点好笑，让我会在每个它想要渲染悲壮情节的环节笑出来。你前脚开着卡车创翻押运囚犯的车还到处开火，后脚带着追兵闯入本来置身事外的居民区开始拿平民当盾牌，怎么事后还有脸怪到追兵身上？哥们在外面搞大屠杀大爆炸杀了不知道多少人，回到几乎完全没遮掩的超公开还有小孩有对外信号的营地里也没做任何准备；怎么在营地被报复屠戮的时候还有脸义愤填膺？

感觉整个流程里，带领我们的所谓的反抗军领袖康纳（大概是这群肥宅作者心中的自设）就是个没有大脑只能用小头思考的，从来不知道LOGIC这个单词怎么拼的弱智。我是真的不知道一个可以做出拿平民当盾牌，拿白磷弹不分敌我地炭烧活人这种完全可以说是恐怖主义战争罪的行径，不管队友死活甚至害死一个又一个队友，主动闯入同阵营美国人的地盘枪杀自己人抢直升机，没有任何领导能力只会嘴臭手下的人，因为自己的所有极其嚣张的恐怖主义活动导致整个城市的平民被报复屠杀的时候，到底是基于什么样的神人心态可以名正言顺地把罪名怪在敌人的头上？我寻思整个流程下来，害死最多美国人的不就是你自己吗？

我能很明显地看出这群红脖子白男们想要创造的一种自由家园被侵占，人们在压迫下奋起反击的氛围；但实际上它能做到的只有让任何有点常识的人患上厌蠢症，让我觉得这些人确实好死，如果能死得更惨更多一点就好了。

别碰瓷使命召唤和荣誉勋章了，真的。这游戏还不如没有剧情，至少那样我不会一边玩一边觉得我变成了一个身后坐着五个红脖子胖哥的阿拉巴马小女孩。

不过仔细一想，如果没有剧情的话，可能这坨屎都不会存在。就三小时的流程，棉花一样的同质化的射击手感（重机枪和冲锋枪几乎没有任何区别），重复性极高（靠它甚至只有三小时到底是怎么能重复的）的关卡设计和敌人换皮（至始至终应该也就只有6种不同皮肤的敌人，打起来基本完全一样就只是换色而已）来说，这游戏在设计上的烂甚至不是像夺命邮差或者The Room那样有意思的烂，而是最烂的那种「无聊」的烂。

怎么说呢。说了这么多，我其实真的只是想劝你不要玩而已。这坨屎我已经替你吃了，你就替我省个三小时吧。",不推荐
单机剧情玩了2关就不玩了，联机很好玩，cod+bf混合体的风格，也就是说是带有载具的cod。,推荐
魔 幻 巨 作,推荐
Good,推荐
"

免费得到的就给个好评把，射击手感怪异就像肌无力但是创意还是不错的，（还有金将军万岁！！！！！！｝",推荐
游戏内容夹带私货，思想文化输出。但也有主角国家的人虐待KPA的剧情。总体说是反战的个人英雄主义。不带着有色眼镜看KPA玩的话，还不错。,推荐
《抗朝奇侠》,推荐
"里面单人模式一共有7个章节，玩起来很像EA的战地，也有呼吸回血大法。简单难度花了 3.4 小时就玩过了。
朝鲜NB噢，一下就占领了整个USA。
剧情里的主角小队更NB就是了，几个人能对抗几百人规模的朝鲜军队。",推荐
"

鑫胖太厉害了，单兵装备全美械，都后期我甚至找不到一把AK。",推荐
"这游戏真是闪瞎我眼，为什么虚幻3的游戏，画面能做得这么亮丽鲜艳？还有不知道是不是这游戏镜面材质过少的原因，总觉得人物贴图像纸片，枪械也毫无金属光泽。

剧情不多说了，大概就是南北朝鲜实现统一，经济实力和政治地位腾飞，组建了强大军事组织KPA，大举进攻美国。而整个游戏就是在叙述美国人民的悲惨处境和奋起反抗的过程。这样的剧情也不是没有新意，只能说没表现到位。游戏自始至终，除了开头巴士和有一关焚尸场有震撼到我之外，其它几关都没给我留下什么特别印象。

手感也一般般吧，平时FPS玩得多的，也能快速上手。

另外，这游戏联机已经没人了，买来只能打打单人，介意的话就不用买了。",推荐
"

早上HB领取游戏，中午下载游戏，下午通关游戏并撰写测评，就是这么一气呵成~~

游戏我个人感觉不错，没什么缺点，但是，我总感觉玩法和使命召唤好像啊！

流程比较短，总共就七关，没有中文，但是英文不难理解，基本一路跟着npc，然后他说什么你就做什么就行了，其他时间就是突突突。


要说有什么不好的，就是游戏总是会时不时卡一下，可能是兼容问题。影响不大。",推荐
"

希望推出中文版",推荐
没有中文，汉化补丁也挂在不了。玩起来好吃力,推荐
"免费获取的产品

免费获得喜加一。时至今日虽然画面渣了点，背景故事奇怪了点，没有汉化无所谓了点。也不至于很多评论说的那么不堪，姑且算是低配版的使命召唤吧。
不建议购买但是免费还是美滋滋的。",推荐
曾经拿出来对抗COD的游戏，结构不尽人意。,推荐
"射击手感和移动手感稀烂，毕竟是老游戏这点其实也不该吐槽

叙事很糟糕，人物塑造完全没有灵魂
bug奇多，开火声音经常丢失 画面持续撕裂 正前方敌人十万八千里外的哀嚎能从你的侧后方传来，甚至都感觉他们在对着我的耳朵哈气

bug多到根本玩不下去，打折十块钱买的留着当扩库存了入手需谨慎。",不推荐
"<国土防线> 游戏不错，开场挺震撼的···

可惜汉化补丁已经全网绝迹了···
~不信你找找~

···对我这个看不懂阴文的人···还是···不推荐了···",不推荐
"

使命召唤的老手难度是自虐，国土防线的老手难度也是自虐
一个是敌人太虐，一个是队友太虐
通关最高难度，你就炼成了玩家的最高境界 —— 至少一个月内不想打游戏，并且专心致力于学习、工作和找对象
反正我是做不到所以先溜了🤣🤣",推荐
玩家在线人数连10都没有，你却让我去匹配，匹配空气？,不推荐
"今天是2020年3月11日，我还没开学。
国土防线1这款游戏是老游戏了，我在初中的时候第一次接触到了盗版，是从快玩下的，加上最近的一遍我差不多通了五遍关。（后来快玩凉了）

评测之前
1.建议骨折入手
2.我是笔记本i5-7300 1050 2g 最高特效满60帧运行
3.搜索3DM汉化，安装完汉化后再删除一个什么什么文件我忘了，但是评测区里有，大家可以自己找找

评测
1.玩法：第一人称射击类游戏，类似使命召唤和战地
2.剧情 6/10 剧情较短，不过挺精彩，主题比较新颖，值骨折价
3.手感 6/10 枪的手感一般 开飞机的手感很棒
4.游戏性 5/10 现在也就玩玩单人任务了，几个小时就通关了，和战地一样短
5.画面 8/10 作为一款老游戏，有这样画面真的可以
6.总体评价：值得骨折入手，那种巨骨折的
反正现在电影院也没开门，就当看了个电影吧",推荐
"Homefront is an FPS which tells the story of a resistance movement fighting back against a near future Korean occupation of the USA.

The game play is a very generic FPS. Pretty much identical to Call of Duty and Medal of Honor; you can only carry two weapons, and four grenades. You will have to swap to different weapons from dead enemies throughout each level as finding ammo is more difficult than you would imagine. None of the enemies use the same weapon...

Graphics wise, it looks nice, but you can tell the game was released in 2011, it looks better than most games released, however it shows it's age when comparing it to more recent titles. The graphical options are wide and you can probably play this game on a potato if you really wanted.

All the maps in the single player are very well designed, sadly you can't really explore because you are constantly reminded to keep following your squad leader. You fight through various different environments such as the streets of suburbs, department stores, and baseball fields, all of which show a disturbing outcome of the quite scary ""what if?"" scenario from a Korean invasion.

